"","onlyClusterGenes"
"773","IGLV4-3"
"774","IGLV5-48"
"775","IGLV9-49"
"776","IMPAD1"
"777","IMPDH2"
"778","INMT-MINDY4"
"779","INO80B-WBP1"
"780","INSYN2"
"781","ISPD"
"782","ITGB3BP"
"783","KARS"
"784","KBTBD11-OT1"
"785","KCTD7"
"786","KDELC1"
"787","KDELC2"
"788","KHDRBS3"
"789","KIAA0355"
"790","KIAA0391"
"791","KIAA0556"
"792","KIAA1024"
"793","KIAA1024L"
"794","KIAA1147"
"795","KIAA1257"
"796","KIAA1324"
"797","KIAA1324L"
"798","KIF1BP"
"799","KLHL4"
"800","KLRC4-KLRK1"
"801","L3MBTL1"
"802","LARS"
"803","LCORL"
"804","LILRB4"
"805","LINGO1"
"806","LMF1"
"807","LMNTD1"
"808","LRMP"
"809","LRRC69"
"810","LTB4R2"
"811","MAATS1"
"812","MAFIP"
"813","MAIP1"
"814","MAP2K6"
"815","MARC1"
"816","MARC2"
"817","MARCH10"
"818","MARCH11"
"819","MARCH1"
"820","MARCH2"
"821","MARCH3"
"822","MARCH4"
"823","MARCH5"
"824","MARCH6"
"825","MARCH7"
"826","MARCH8"
"827","MARCH9"
"828","MARS"
"829","MAX"
"830","METTL13"
"831","MIA-RAB4B"
"832","MINOS1"
"833","MINOS1-NBL1"
"834","MLYCD"
"835","MROH7-TTC4"
"836","MRPL33"
"837","MRVI1"
"838","MSH2"
"839","MSH5-SAPCD1"
"840","MSRB3"
"841","MT-ATP6"
"842","MT-ATP8"
"843","MTMR2"
"844","MT-ND4L"
"845","MT-ND5"
"846","MT-ND6"
"847","MTSS1L"
"848","MUM1"
"849","MUT"
"850","MVB12A"
"851","N4BP2L2"
"852","NA"
"853","NARS"
"854","NBPF14"
"855","NCBP2-AS2"
"856","NDEL1"
"857","NDUFA13"
"858","NDUFB9"
"859","NOV"
"860","NPHP3-ACAD11"
"861","NPIPB13"
"862","NPIPB5"
"863","NTF4"
"864","NUPL2"
"865","OCLM"
"866","OMA1"
"867","OR7E47P"
"868","P4HA2"
"869","PALM2-AKAP2"
"870","PALM2"
"871","PCDH11X"
"872","PCDH19"
"873","PDE6D"
"874","PEX11A"
"875","PIGN"
"876","PIH1D3"
"877","PIPOX"
"878","PISD"
"879","PLA2G16"
"880","PNMA3"
"881","PODNL1"
"882","PPIL3"
"883","PPM1N"
"884","PPT2-EGFL8"
"885","PQLC1"
"886","PQLC2"
"887","PQLC2L"
