"","missingGenes"
"1203","MPP4"
"1204","MPRIP"
"1205","MR1"
"1206","MRGPRE"
"1207","MROH9"
"1208","MS4A12"
"1209","MS4A15"
"1210","MS4A18"
"1211","MSH3"
"1212","MSLNL"
"1213","MT1HL1"
"1214","MTARC1"
"1215","MTARC2"
"1216","MTMR8"
"1217","MTRES1"
"1218","MTRNR2L12"
"1219","MTRNR2L6"
"1220","MTSS2"
"1221","MUC12"
"1222","MUC13"
"1223","MUC16"
"1224","MUC17"
"1225","MUC2"
"1226","MUC20"
"1227","MUC21"
"1228","MUC22"
"1229","MUC3A"
"1230","MUC5AC"
"1231","MUC5B"
"1232","MUC6"
"1233","MUC7"
"1234","MUCL1"
"1235","MUCL3"
"1236","MYBBP1A"
"1237","MYCT1"
"1238","MYEOV"
"1239","MYG1"
"1240","MYH15"
"1241","MYO15B"
"1242","MYO9B"
"1243","MYOD1"
"1244","MYOM1"
"1245","MYPOP"
"1246","NACAD"
"1247","NANOGNB"
"1248","NANOS1"
"1249","NANOS3"
"1250","NAP1L2"
"1251","NAP1L3"
"1252","NARS1"
"1253","NAT16"
"1254","NBEAL2"
"1255","NBPF1"
"1256","NBPF11"
"1257","NBPF12"
"1258","NBPF15"
"1259","NBPF3"
"1260","NBPF4"
"1261","NBPF6"
"1262","NBPF9"
"1263","NBR1"
"1264","NCAN"
"1265","NCBP2AS2"
"1266","NCBP3"
"1267","NCOA3"
"1268","NCOA6"
"1269","NCOR2"
"1270","NCR1"
"1271","NCR2"
"1272","NCR3LG1"
"1273","NDUFB10"
"1274","NEFH"
"1275","NEFM"
"1276","NES"
"1277","NFILZ"
"1278","NFKBIE"
"1279","NFXL1"
"1280","NHSL1"
"1281","NIBAN1"
"1282","NIBAN2"
"1283","NIBAN3"
"1284","NID2"
"1285","NINL"
"1286","NKAPL"
"1287","NKPD1"
"1288","NKX1-1"
"1289","NKX1-2"
"1290","NKX2-4"
"1291","NLRP10"
"1292","NLRP5"
"1293","NLRP6"
"1294","NLRP8"
"1295","NMUR2"
"1296","NOL3"
"1297","NOM1"
"1298","NOTCH1"
"1299","NOTCH2NLB"
"1300","NOTCH2NLC"
"1301","NOTCH2NLR"
"1302","NOTCH4"
"1303","NOTO"
"1304","NOXO1"
"1305","NPAP1"
"1306","NPAT"
"1307","NPC1"
"1308","NPHP1"
"1309","NPIPA1"
"1310","NPIPA2"
"1311","NPIPA3"
"1312","NPIPA5"
"1313","NPIPA7"
"1314","NPIPA8"
"1315","NPIPA9"
"1316","NPIPB3"
"1317","NPIPB6"
"1318","NPIPB8"
"1319","NPIPB9"
"1320","NPPA"
"1321","NPY1R"
"1322","NR1H2"
"1323","NRIP1"
"1324","NT5DC4"
