"","newAnalysisData.Rho","oldData.Rho","newAnalysisData.p.adj","oldData.p.adj","newAnalysisData.permPValue","oldData.permp.2sided","RhoChange","RhoChangePercent","pChange","pChangePercent"
"HDAC9",-0.11952449911932,-0.129810021588988,0.447979778364931,0.375881707637379,0.481968661054296,0.612303950348067,-0.0102855224696681,0.086053675568221,-0.130335289293771,-0.270422747007378
"RMDN1",-0.168334743999558,-0.17088377589491,0.207109086249691,0.187850139298835,0.162281024734693,0.120497076636141,-0.00254903189535224,0.0151426368365104,0.0417839480985522,0.257478951509353
"GPSM2",-0.108499666679219,-0.139476556365133,0.514224812096401,0.344985063301759,0.443892355275275,0.120983185673099,-0.0309768896859141,0.285502164513535,0.322909169602176,0.727449269546279
"HOXD12",-0.0688825780415032,-0.0844334625859744,0.737380117503056,0.645903379637044,0.763477854161707,0.773293578958577,-0.0155508845444712,0.225759328216511,-0.0098157247968701,-0.012856593997278
"PARD3B",0.0665020000805984,0.0277992315090504,0.680483188097623,0.869394063185357,0.787214155112616,0.934871042147201,0.038702768571548,0.581979016039238,-0.147656887034585,-0.18756889224567
"ASB3",-0.0443322343410144,-0.0248093070117408,0.814985711165922,0.895061059438286,0.607160016561607,0.875875412732129,0.0195229273292736,-0.440377698518384,-0.268715396170522,-0.442577555900795
"C1S",-0.163025281985473,-0.167210770677181,0.203957682864879,0.178278999564728,0.0528127424018052,0.0894223492810897,-0.00418548869170762,0.0256738626103439,-0.0366096068792845,-0.693196475213397
"DTNB",0.130179793791066,0.117998481964197,0.433361251928052,0.465982467101318,0.162895959130036,0.209838343015913,0.0121813118268695,0.0935729845018806,-0.0469423838858769,-0.288174023079381
"FSHR",0.187498923877663,0.192640400703521,0.118978398736046,0.101220060678529,0.0181223340373545,0.00798440839934615,-0.00514147682585847,-0.0274213671178888,0.0101379256380084,0.559416111473923
"PCNX4",-0.116853789647228,-0.108973620202506,0.382266259716007,0.405040498461415,0.0975418114887176,0.174619524089801,0.00788016944472178,-0.0674361479290606,-0.0770777126010834,-0.790201775266381
"DERL3",-0.334606817754866,-0.263405236779472,0.0826085801664749,0.182269237200721,0.0965123633118887,0.334733633220566,0.0712015809753943,-0.212791781868464,-0.238221269908677,-2.46829796446744
"MAD1L1",0.0115314567559231,-0.00167518730024646,0.955643938424193,0.993604245024964,0.948886876864082,0.990551776266062,0.00985626945567669,0.854728909304022,-0.0416648994019801,-0.0439092376740165
"BCL6",0.140202631894381,0.111854723168895,0.402049407035983,0.51164923694034,0.0814634766070181,0.14465713083719,0.0283479087254861,0.202192414952962,-0.0631936542301719,-0.775729895926487
"HIPK2",0.0808377864740137,0.0375823014001414,0.67694070602165,0.855101733397463,0.78042194092827,0.870477692078238,0.0432554850738723,0.535089924657663,-0.090055751149968,-0.115393669023261
"CDCA7L",0.11583717290885,0.105663775923832,0.469026367031475,0.50162512285335,0.752146932512252,0.681309198063566,0.0101733969850178,0.0878249764695401,0.0708377344486862,0.0941807130849826
"GRAMD4",-0.0616490823443173,-0.0578120163026227,0.764130825819076,0.766567818176144,0.832931898802157,0.755182438695542,0.00383706604169456,-0.0622404405026519,0.077749460106615,0.0933443180870211
"SYCE3",-0.0846391670112603,-0.175863463053191,0.744593773667213,0.395979762761076,0.941592891512695,0.753138433242798,-0.0912242960419307,1.07780238467841,0.188454458269897,0.20014430861637
"HYPK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHKB",-0.0252489562324439,-0.0620114148068386,0.905161853423729,0.727889043153745,0.905577485102668,0.290176407359791,-0.0367624585743947,1.4559991405568,0.615401077742877,0.679567555362871
"NLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRPPA",0.0348196798590975,0.0264472535662279,0.849349300736473,0.880244800337684,0.843039815768741,0.889755034471197,0.00837242629286962,0.240450984235058,-0.0467152187024557,-0.0554128260951205
"PPP1R7",0.0470811558894963,0.0127950028994123,0.833025838664711,0.959061441268657,0.578530415219353,0.77143339096698,0.034286152990084,0.728235157831653,-0.192902975747627,-0.333436187057662
"KIF26B",0.377654463827444,0.322561390290738,0.00123337658197706,0.0051628812454239,0.180007792648616,0.73361754215647,0.0550930735367057,0.145882225191647,-0.553609749507854,-3.07547657444212
"FAH",0.190518696414268,0.190051672143533,0.156544656665238,0.146394751679491,0.354459054698112,0.658207888318897,0.000467024270734751,0.00245133039184377,-0.303748833620785,-0.856936307860675
"PRR16",0.304668757393137,0.278315939130689,0.0228277715891813,0.0381776928546925,0.512327387480137,0.6433878470249,0.0263528182624477,0.0864966217341502,-0.131060459544763,-0.255813885315363
"KREMEN1",-0.165450133365463,-0.142244863704638,0.293982055964536,0.36325926232735,0.0569467933665089,0.0413682702839329,0.0232052696608246,-0.140255369934133,0.015578523082576,0.273562779598718
"RPS14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CDK11B",0.0554474840053628,-0.012439810940276,0.806742155691951,0.963228208569789,0.286840067606384,0.97976726013221,0.0430076730650868,0.775646971843252,-0.692927192525826,-2.41572663926678
"TSPAN9",0.118984244407096,0.131859173440629,0.550304742235857,0.45845672508758,0.625412928969189,0.122433075675562,-0.0128749290335332,-0.108207007555409,0.502979853293627,0.804236417246191
"IFI30",0.0906877704132844,0.0736889286274542,0.585116083426402,0.649600387110987,0.181020328781706,0.172136144806273,0.0169988417858302,0.187443595849392,0.00888418397543314,0.0490783771923575
"THAP4",-0.149988118206849,-0.14602104448393,0.280078834281564,0.277971503977363,0.642242312091756,0.145122002435849,0.00396707372291905,-0.0264492532498344,0.497120309655907,0.774038552578087
"C1D",-0.0672651509913534,-0.0927804984300184,0.744593773667213,0.607873974642415,0.145689686433171,0.0996444276126155,-0.025515347438665,0.379324911378625,0.0460452588205554,0.316050229414673
"METTL15",-0.0270866400097797,-0.0301105050189006,0.890598030954485,0.867377733871632,0.85210498001628,0.5888395103136,-0.00302386500912087,0.111636770305549,0.26326546970268,0.308958961485767
"CBX6",-0.0178387178508362,-0.0478584209736271,0.935330606686478,0.793715615852756,0.94359424245378,0.794003705575206,-0.0300197031227909,1.68283972950353,0.149590536878574,0.15853269355435
"WDR43",-0.0442633894872819,-0.0718638629460892,0.82902688180269,0.683878081811903,0.841929400477812,0.773246155812071,-0.0276004734588073,0.623550834640389,0.0686832446657408,0.081578389621222
