"","Rho","N","P","p.adj","PermPval","Carnivora","Cetacean","Combination","ratio"
"MON1A",0.0162008013045142,101,0.843480532317249,0.938878092700216,0.782595083552768,"0.2103","0.2479","0.2099","0.8467"
"TMEM256",-0.0529861193173809,61,0.618061070515114,0.830249480345958,0.782645792519661,"0.261","2.963","0.357","0.1205"
"NSMCE2",-0.0512841871179226,81,0.57660263307536,0.804484411066693,0.782650698880746,"1.552","1.496","0.2565","0.1652"
"KY",0.0401436716014782,101,0.624670705822357,0.834490568501858,0.782672926334107,"0.4497","0.2516","0.2505","0.5571"
"NNMT",-0.0358093305533407,63,0.731881235719949,0.888663015842746,0.782678523920562,"0.3568","0.2605","0.2916","0.8173"
"PLAT",-0.0985303067682713,121,0.188008318194176,0.48931793269502,0.782716538484726,"0.2039","0.4597","0.2869","0.6241"
"C1orf87",0.181380292752076,113,0.0192515772100607,0.146226120663948,0.782783220068659,"1.868","0.2","0.9448","0.5057"
"C1orf210",0.0329512379199067,80,0.721482218264885,0.883896825256286,0.782964784723938,"0.264","0.2324","0.252","0.9545"
"PAIP2B",-0.0553557224271572,45,0.65646647563602,0.851118268354345,0.78303464923735,"0.2959","273.2","0.5885","0.002154"
"AKAP11",0.00677603486521942,123,0.927258876142469,0.97276174433819,0.783103186142458,"0.2675","0.1946","0.2274","0.8503"
"SPX",0.0106977266055865,73,0.912076050477272,0.965280486755113,0.783179416864943,"0.2418","0.3466","0.2423","0.699"
"PLIN2",0.0125429449117813,113,0.871415687234893,0.951194220936905,0.783290142276423,"0.285","0.2157","0.2286","0.8021"
"CARD10",0.134746443635664,107,0.090797930752395,0.336806383726582,0.78332107922976,"4.363","0.2461","1.426","0.3269"
"CAMKV",-0.0179095505189418,82,0.844438882001521,0.939198536861718,0.783414548377374,"0.2336","0.3294","0.2375","0.7209"
"FRZB",0.0258817425852829,68,0.796733668477422,0.919562806137005,0.783429257274626,"0.3959","0.3947","0.2509","0.6337"
"PCDHGA5",0.114786167287333,103,0.15766045826301,0.450381171850832,0.783477043853158,"5.257","0.2405","0.6396","0.1216"
"EGFR",-0.0897157584010584,112,0.24911053959486,0.563072480598577,0.783495724348905,"1.391","0.3189","0.2988","0.2148"
"HERC4",-0.0645978041733916,61,0.543276137186631,0.78771632013711,0.783535022424546,"0.2609","0.5946","0.351","0.5903"
