"","X.1","X","FaName","Zoonomia","Common.Name.or.Group","scientific","phenotype","Binomial","BinomialPretty","PantheriaMaturity","pantheriaMaxAge","pantheriaBodysize","lifeHistoriesMaturity","lifeHistoryMaxAge","lifeHistoryBodysize","anAgeMaturity","anAgeMaxAge","anAgeBodysize","combinedMaturity","combinedBodysize","MaximumAge","MaturityPercentage","elifeLongevity","L3","ELL"
"92",92,92,"manPen1","vs_HLmanPen2","Chinese pangolin","manis_pentadactyla","Insectivore","manis_pentadactyla","Manis pentadactyla",755.15,14400,4675,NA,NA,2350,755,NA,2350,755,2350,14400,0.0524305555555556,NA,NA,NA
"93",93,93,"HLmanJav1","vs_HLmanJav2","Sunda pangolin","manis_javanica","Insectivore","manis_javanica","Manis javanica",755.15,16920,4861.71,NA,NA,5150,NA,NA,NA,5150,4861.71,16920,0.304373522458629,NA,NA,NA
"94",94,94,"pteAle1","vs_pteAle1","Black flying-fox","pteropus_alecto","Herbivore","pteropus_alecto","Pteropus alecto",NA,NA,NA,NA,NA,NA,NA,7409.5,672.1,NA,672.1,7409.5,NA,7190.5,-0.294891036,0.350650394
"95",95,95,"HLpteVam2","vs_HLpteVam2","Megabat","pteropus_vampyrus","Herbivore","pteropus_vampyrus","Pteropus vampyrus",NA,NA,NA,NA,NA,NA,NA,7628.5,872,NA,872,7628.5,NA,NA,NA,NA
"96",96,96,"rouAeg1","vs_HLrouAeg4","Rousette Fruit Bats","rousettus_aegyptiacus","Herbivore","rousettus_aegyptiacus","Rousettus aegyptiacus",315.68,NA,134,NA,NA,NA,365,8358.5,125,365,125,8358.5,0.0436681222707424,NA,NA,NA
"97",97,97,"HLrhiSin1","vs_HLrhiSin1","Horseshoe Bats","rhinolophus_sinicus","Insectivore","rhinolophus_sinicus","Rhinolophus sinicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",98,98,"HLhipArm1","vs_HLhipArm1","Old World Leaf-nosed Bats","hipposideros_armiger","Insectivore","hipposideros_armiger","Hipposideros armiger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",99,99,"eptFus1","vs_eptFus1","Big brown bat","eptesicus_fuscus","Insectivore","eptesicus_fuscus","Eptesicus fuscus",395.29,NA,17.49,NA,NA,NA,547,6935,23,547,23,6935,0.0788752703677001,6935,-0.980635609,0.977377076
"100",100,100,"myoDav1","vs_myoDav1","David's myotis bat","myotis_davidii","Insectivore","myotis_davidii","Myotis davidii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8760,-1.075498273,1.453322846
"101",101,101,"myoBra1","vs_myoBra1","Brandt's bat","myotis_brandtii","Insectivore","myotis_brandtii","Myotis brandtii",NA,NA,NA,NA,NA,NA,NA,14965,7,NA,7,14965,NA,NA,NA,NA
"102",102,102,"myoLuc2","vs_HLmyoLuc1","Microbat","myotis_lucifugus","Insectivore","myotis_lucifugus","Myotis lucifugus",280.6,NA,7.8,NA,NA,NA,210,12410,10,210,10,12410,0.0169218372280419,12410,-0.667962426,1.613960625
"103",103,103,"HLminNat1","vs_HLminNat1","Long-winged bats","miniopterus_natalensis","Insectivore","miniopterus_natalensis","Miniopterus natalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
