"","Order","BinPerm","CatPerm","ContPerm","BinRank","CatRank","ContRank","BinPercent","CatPercent","ContPercent","BinaryRankPercent","CatRankPercent","ContRankPercent"
"S100A1",3701,NA,0.00849521436257575,NA,15314,370,NA,NA,0.0228366868287866,NA,0.944783762107471,0.0228268246036153,NA
"CXCR5",3702,0.0581183773948411,0.156585417041434,0.07884,1757,3928,1235,0.117242759909249,0.242439205036415,0.0887722829212191,0.108396569806897,0.242334505521624,0.0887722829212191
"FLAD1",3703,0.0259860100681371,0.187974716606592,0.17336,711,4516,2513,0.0474442813292406,0.278731020861622,0.180635422656699,0.0438645197112715,0.278610648405207,0.180635422656699
"UBE2Q1",3704,NA,0.632442619434315,NA,15315,11098,NA,NA,0.684977163313171,NA,0.944845456228022,0.684681349867358,NA
"ANO10",3705,0.179887131094458,0.467565428251938,0.23026,4323,8866,3299,0.288469237955425,0.547216393037897,0.23713341000575,0.266703683138997,0.546980072799062,0.23713341000575
"PAQR6",3706,0.537807128849925,0.414463138415024,0.91732,7529,8088,12786,0.50240224209262,0.499197629922232,0.919062679700978,0.464495033623296,0.49898204701092,0.919062679700978
"CCR2",3707,0.779155455697022,0.605940500625192,0.03994,10130,10766,673,0.675964233284399,0.664485865942476,0.0483755031627372,0.624961441174656,0.664198901844654,0.0483755031627372
"CCR5",3708,0.832673235371415,0.755645860100995,0.75934,11108,12673,10575,0.741225143467236,0.782187384273547,0.760135135135135,0.685298291072861,0.781849589734098,0.760135135135135
"CCDC12",3709,0.845128183198272,0.699316273836656,0.91629,11360,11956,12770,0.758040838115575,0.737933588445871,0.917912593444508,0.700845209451539,0.737614905299525,0.917912593444508
"PPP1R35",3710,0.911300686462324,0.189166373121819,0.49145,12923,4536,6879,0.862338182303483,0.279965436365881,0.494465209890742,0.797273119871676,0.279844530816213,0.494465209890742
"RNF126",3711,0.329284068576635,0.886303413178907,0.99201,5926,14529,13807,0.395435740024022,0.896741143068757,0.99252443933295,0.365599358381146,0.896353877475477,0.992452558941921
"GPC2",3712,0.115934670390116,0.15578492105462,0.87416,3193,3910,12166,0.213065527825971,0.241328231082582,0.874496837262795,0.196989326917145,0.241224011351718,0.874496837262795
"AZGP1",3713,0.847037513256811,0.789021960996483,0.26022,11395,13157,3711,0.760376351261177,0.812060239476608,0.266748131109833,0.7030045036708,0.811709544080449,0.266748131109833
"FGFR4",3714,0.932322695531377,0.560788149032219,0.7671,13449,10174,10666,0.897437608434539,0.627947167016418,0.766676250718804,0.82972422728114,0.62767598247887,0.766676250718804
